Vertex,Degrees of vertices when n=1600 and r=0.060000
1577,14
602,18
436,16
1553,15
527,16
1493,8
1535,18
978,12
829,15
421,16
67,12
1216,13
729,19
793,17
675,16
891,21
1037,17
931,17
1028,24
759,17
517,13
860,16
99,13
1156,14
1347,15
573,15
38,11
1003,13
1378,15
299,14
887,12
82,14
1002,17
445,13
364,16
1259,12
354,16
560,14
651,14
1200,17
1119,17
1402,10
138,10
621,22
1073,16
1268,14
1274,22
154,14
10,12
713,14
1072,18
1114,17
309,16
1543,18
585,17
456,21
92,17
39,21
1229,14
1060,14
643,17
1366,17
1057,11
1355,14
911,17
1127,17
896,16
1280,17
756,17
843,14
400,13
1177,16
1250,24
590,16
1113,16
256,24
61,20
703,15
172,14
1300,19
926,19
897,10
1001,20
882,17
215,17
1571,23
1239,17
1082,19
875,21
1049,17
712,15
1097,14
724,17
1349,20
386,15
750,21
24,18
406,16
1171,16
326,19
1416,17
1471,19
3,16
25,21
789,21
1111,18
471,13
56,17
781,17
586,17
1074,20
1149,18
281,16
330,11
9,23
1467,17
1565,22
1599,18
405,14
960,18
604,18
201,14
722,22
1594,20
654,17
1533,24
34,18
1211,20
689,22
1225,21
638,16
1158,22
596,20
228,18
465,16
134,21
437,16
1383,16
1243,20
106,15
262,18
401,18
1489,18
255,19
158,18
473,22
850,21
168,22
749,11
291,20
1590,16
942,23
1138,15
986,14
1062,19
1367,19
564,14
296,16
476,15
440,20
123,19
929,18
1470,21
444,9
873,24
1330,21
360,16
50,22
1151,19
1468,17
669,18
452,10
263,18
974,21
783,20
909,17
1143,24
333,15
195,13
60,15
1331,12
574,24
1024,22
1302,19
361,22
889,19
774,18
1192,16
903,20
763,19
1047,13
1306,18
1020,18
22,14
665,21
1254,18
7,15
1293,16
985,23
177,16
798,21
827,24
803,15
303,17
1345,16
1401,16
1102,21
828,16
582,18
835,16
1373,15
1382,14
1324,21
237,13
672,20
417,19
243,20
1087,18
837,17
57,18
433,17
918,16
1329,19
366,17
922,12
737,25
69,26
535,21
80,26
1528,22
640,5
583,15
1569,15
912,13
449,18
812,17
1262,20
424,17
244,15
1115,18
639,17
817,19
1427,23
1481,17
762,17
1338,13
547,19
35,15
1408,12
1395,15
707,21
821,19
479,19
543,19
1550,16
730,15
1253,20
1231,19
832,17
983,26
1580,23
1593,17
1563,12
31,15
670,21
1183,19
1199,17
450,17
415,19
1325,16
1129,19
320,21
1591,8
747,21
1424,22
122,22
1014,20
446,22
905,23
1198,21
1474,22
1452,16
1140,23
384,18
553,23
1432,14
1203,16
864,19
956,9
1449,21
407,17
1297,20
348,20
1392,18
1583,14
188,15
102,18
26,20
1131,18
857,18
409,18
240,12
563,21
4,23
412,22
871,16
1582,20
557,21
1110,19
1061,15
987,20
768,14
242,20
510,16
1163,15
1495,22
205,22
686,8
1046,16
151,22
1195,11
127,14
1513,17
251,12
89,15
315,3
1359,11
928,10
1438,19
1600,16
851,20
1088,18
458,24
1036,25
1586,14
1101,17
810,18
845,22
998,22
992,28
524,21
1137,21
1165,23
1368,19
258,22
1118,25
126,8
671,27
1,24
392,20
1597,26
656,22
74,19
542,17
1516,23
1286,22
717,21
894,28
1048,15
434,25
1098,19
902,12
1128,25
1413,26
472,14
150,17
1176,19
538,18
1310,18
1396,13
1291,14
556,20
341,26
1572,18
278,19
511,19
498,17
133,15
861,19
1418,25
809,22
399,19
1094,26
996,22
1205,26
169,18
1133,16
495,26
1304,21
487,21
1522,22
1194,15
311,20
1497,17
289,17
1084,22
1080,17
1335,17
59,29
45,27
1236,28
925,22
457,20
83,19
1005,26
63,27
1044,16
295,17
1540,16
1256,20
1363,23
732,15
1390,15
293,24
1090,25
965,18
1095,19
569,16
1339,21
1575,21
1544,24
522,26
744,18
981,23
946,22
684,24
78,20
595,15
1161,17
305,20
973,8
1326,19
432,20
892,17
497,20
514,18
477,20
1510,15
355,22
698,19
1011,21
447,17
814,20
1389,22
164,22
1000,26
617,22
196,26
1511,22
975,22
1175,17
1477,23
779,19
615,21
1376,19
642,18
673,15
155,15
36,5
680,17
431,19
831,20
757,21
2,18
539,23
1520,19
1388,22
1054,21
1144,20
976,13
1584,19
631,22
183,22
496,9
327,20
945,13
18,14
849,12
966,22
1125,13
358,22
96,21
963,15
773,17
1570,23
532,20
1298,21
826,17
646,22
181,21
1124,19
1252,20
852,10
1091,23
572,15
1476,20
1155,20
136,22
1546,19
1021,22
530,13
1531,18
276,17
584,25
1364,23
1185,14
351,21
1377,21
1505,19
370,20
121,24
1537,21
647,23
588,13
601,22
696,23
290,26
1337,19
492,22
1411,27
529,19
156,14
119,23
238,10
137,23
726,19
283,21
110,14
1506,29
246,19
545,27
788,19
117,17
294,12
390,11
1435,20
466,16
935,21
618,19
839,26
1105,19
1029,28
1419,19
786,15
972,19
232,22
914,17
1247,17
323,20
969,25
1371,18
761,14
1150,21
1526,20
1015,21
1184,19
1281,23
5,28
1585,22
1372,20
1190,27
748,22
1032,19
1352,29
1070,21
700,20
938,21
1246,17
267,21
353,13
192,23
792,27
597,12
339,17
178,17
1587,24
612,24
55,17
1374,15
1555,24
342,23
1445,10
533,19
1486,27
37,28
605,24
199,20
1384,16
1527,20
1498,20
265,24
512,20
628,25
182,17
248,27
1448,20
455,27
1031,19
116,26
469,17
1104,23
171,22
1562,23
101,25
971,25
841,21
257,21
1166,18
733,18
1255,22
606,14
738,17
1040,17
1010,16
1581,21
1556,28
1292,23
1295,20
252,18
660,21
207,27
467,15
1441,17
758,19
806,18
500,20
649,24
1077,18
1317,26
1525,15
1069,16
904,23
426,21
1076,19
609,18
371,22
1404,12
216,17
592,24
1322,25
143,5
268,16
804,19
799,22
464,16
1056,25
1016,20
1532,18
482,23
682,24
344,18
190,11
1065,24
745,13
1100,14
163,27
411,19
1385,18
1023,16
321,11
760,17
1186,21
634,16
44,9
1539,17
222,26
516,23
1197,20
1312,21
363,18
167,15
1386,11
132,19
422,13
1172,17
218,21
1357,17
1004,20
807,19
1180,16
775,16
1018,26
1276,16
1289,18
1226,15
1081,19
1045,11
403,27
944,19
75,16
1480,17
86,24
1145,9
727,20
838,14
1483,19
908,25
854,18
247,11
999,13
1453,24
1406,15
428,15
714,16
1058,16
198,13
801,11
525,10
1420,27
1142,22
1399,16
1421,14
1515,19
1224,25
372,13
710,14
1278,26
1279,19
438,17
331,18
519,11
1434,15
1360,19
742,12
900,15
1181,22
1245,17
513,14
12,19
239,23
704,15
1025,19
577,16
499,15
668,18
340,19
930,8
844,15
766,19
301,7
770,18
1375,12
589,18
661,12
335,15
800,22
858,15
1178,19
380,10
1283,21
1051,17
418,18
388,17
551,13
501,21
1228,16
1490,13
65,16
319,16
404,16
139,11
1549,13
846,16
1173,10
259,17
21,12
558,21
1469,17
1430,17
746,18
953,20
140,20
297,19
943,18
1164,19
690,17
225,19
325,19
878,6
1284,20
1482,8
1579,9
1504,19
1431,21
1362,20
1552,20
70,16
977,21
503,21
1266,20
1275,9
1242,17
600,20
1350,21
932,19
1491,18
822,20
408,19
1258,14
200,17
808,17
1548,10
441,13
125,17
368,15
1212,17
1159,21
393,16
1272,20
1344,17
391,16
1034,17
1260,10
1288,15
1248,21
1454,16
107,22
98,11
231,17
715,12
1305,15
534,18
129,16
1341,24
509,10
1530,19
906,25
721,17
1179,20
1334,14
488,10
579,21
175,16
1394,13
1463,15
967,20
830,15
1333,20
307,16
718,18
430,15
1066,14
88,11
1026,7
1459,7
508,18
1187,14
699,16
1576,16
795,15
1285,15
979,20
613,12
1303,17
627,9
166,17
1559,11
870,10
886,15
162,17
1116,17
834,19
271,25
521,20
1328,21
603,15
840,20
1524,20
659,16
1551,5
1465,17
1188,20
413,19
619,9
1440,20
1083,15
13,11
877,18
1078,15
888,19
725,13
62,18
356,8
587,10
644,19
15,20
645,18
528,15
130,17
752,15
811,12
233,15
667,18
68,20
90,15
1160,17
1358,19
869,12
554,21
1013,19
1538,12
1578,18
376,13
796,18
1107,21
382,18
1560,18
518,15
1340,17
505,17
396,15
1265,18
566,16
219,21
1221,18
964,15
1536,16
298,15
277,21
805,15
1318,7
379,13
186,22
1327,18
677,14
735,20
460,17
910,19
1595,20
1391,17
833,19
480,13
548,20
741,15
1353,21
890,20
1208,15
1287,14
1296,16
1109,21
664,20
1596,15
1068,21
105,18
1407,18
688,17
1458,19
1301,20
1437,17
313,18
1415,26
1523,14
901,18
1472,21
318,23
1561,24
885,12
1038,8
997,20
1267,14
32,20
1154,24
895,14
1475,18
819,17
494,23
947,20
780,24
1423,20
1314,28
1436,18
1030,17
1103,21
1554,17
982,19
599,16
95,17
336,16
1106,5
823,17
1121,22
1022,18
610,15
332,16
204,11
41,17
1041,17
241,21
470,17
1573,24
924,24
310,20
229,15
1168,26
1478,18
580,13
484,18
959,27
1132,13
1112,13
847,19
208,21
624,16
1059,17
253,20
1240,18
1290,16
1052,18
1450,20
1027,16
1397,18
264,18
1053,18
915,26
217,20
549,22
693,17
550,20
394,24
1336,17
504,19
1403,18
1271,16
1174,22
927,21
33,21
708,19
314,14
478,21
1079,20
1398,24
1422,18
221,14
1294,21
984,16
1361,12
1264,20
334,20
769,19
236,20
1232,10
53,21
1202,20
324,14
1063,24
442,16
414,21
697,23
633,25
197,26
1141,15
397,11
555,22
306,19
1410,19
453,15
462,23
1557,24
260,17
720,20
72,24
813,9
952,15
42,18
1064,18
1071,17
531,17
1529,15
1379,20
273,21
6,19
1592,27
1235,25
153,17
502,20
1447,19
157,15
378,21
1130,19
402,11
692,25
1412,17
1055,16
173,25
1244,19
338,18
559,17
275,12
272,15
292,18
84,16
575,13
51,22
787,21
1457,19
797,19
685,15
176,27
1509,19
709,21
994,10
836,21
461,28
322,15
19,26
866,21
736,21
1473,19
459,15
919,19
663,19
206,21
791,26
1315,24
921,22
1042,15
567,23
1502,18
879,16
362,19
474,29
416,15
365,20
1451,25
475,26
131,16
1342,15
1007,15
1369,17
816,26
1387,14
1461,23
1499,25
180,24
160,18
1558,24
120,23
312,19
170,18
767,17
261,25
435,19
1182,17
491,12
135,13
1249,21
1170,5
961,12
20,23
347,16
940,20
226,13
614,22
383,17
270,24
880,19
1521,14
1566,21
593,15
1589,25
266,22
1089,16
662,16
883,21
227,11
702,15
14,13
1153,22
1093,22
300,15
785,9
419,11
691,25
52,16
357,15
1400,19
1006,20
778,15
523,15
1096,17
1067,10
85,15
515,23
420,22
962,14
280,25
287,17
1277,16
1146,16
66,14
1261,16
771,10
1126,16
705,12
520,15
282,20
230,11
772,21
387,18
146,7
862,23
666,20
591,15
373,21
194,13
274,13
451,20
751,12
1135,19
1414,19
1238,18
1323,13
991,14
49,17
40,15
1464,17
1220,15
1309,7
1417,20
537,17
1567,17
653,15
1321,21
1050,7
1120,13
923,15
622,5
594,7
1517,4
561,9
936,11
820,9
23,7
112,11
674,14
145,4
884,9
676,6
115,7
1346,4
1148,13
1108,4
234,10
1547,5
1257,18
611,10
506,10
632,12
443,12
111,5
1136,3
1299,5
568,8
1313,6
1393,6
716,12
754,11
728,3
